,,
"PERSOANE CERCETATE, TRIMISE ÎN JUDECATĂ ȘI CONDAMNATE ÎN PERIOADA IANUARIE - DECEMBRIE 2020",,
,,
Persoane cercetate,12283,
Persoane trimise în judecată,1554,
Persoane condamnate,1261,
,,
"PERSOANE CONDAMNATE ÎN PERIOADA IANUARIE - DECEMBRIE 2022, PE ÎNCADRARE JURIDICĂ",,
,,
Art.2 din Legea nr. 143/2000,555,
Art.3 din Legea nr. 143/2000,168,
Art.4 din Legea nr. 143/2000,342,
Legea nr. 194/2011,87,
,,
"PERSOANE CONDAMNATE ÎN PERIOADA IANUARIE - DECEMBRIE 2022, PE SEXE",,
,,
,Majori,Minori
Bărbați,892,10
Femei,100,5
,,
SITUAȚIA GRUPĂRILOR INFRACȚIONALE IDENTIFICATE ÎN PERIOADA IANUARIE - DECEMBRIE 2020,,
,,
Grupări identificate,88,
Număr persoane implicate în grupări,298,
,,
SITUAȚIA PEDEPSELOR APLICATE PENTRU INFRACȚIUNI LA REGIMUL DROGURILOR ÎN PERIOADA IANUARIE - DECEMBRIE 2020,,
,,
,Legea nr. 143/2000,Legea nr. 194/2011
Executarea pedepsei,225,144
Suspendarea pedepsei,260,33
Amendă penală,93,5
Amânarea executării pedepsei,80,0
Măsuri neprivative de libertate-minori,12,11
