,
PROIECTE NAȚIONALE (anul școlar 2019-2020),Nr. beneficiari
Proiect național CUM SĂ CREŞTEM SĂNĂTOŞI -7 activități/proiect (Nivel preșcolar),28580
Proiect național ABC-UL EMOŢIILOR-6 activități/proiect (Nivel primar),20073
Proiect național NECENZURAT-12 activități/proiect (Nivel gimnazial),17656
Proiect național FRED GOES NET- minimum 8 ore/proiect (Nivel liceal),767
Proiect național MESAJUL MEU ANTIDROG (Nivel gimnazial și liceal ),5523
Proiect național EU ŞI COPILUL MEU-9 activități/proiect (adresat părinților),2776
 Proiect național Abilități pentru acțiune,5054
 Proiect național Acționăm just,3069
,
,
CAMPANII NAȚIONALE- 2020,Nr. beneficiari
,
Campania pentru marcarea Zilei Naționale Fără Tutun (17 noiembrie 2020),13898
Campania 19 ZILE DE PREVENIRE A ABUZURILOR ȘI VIOLENȚELOR ASUPRA COPIILOR ȘI TINERILOR (01-19 noiembrie 2020),10569
,
,
ACTIVITĂȚI DE PREVENIRE -2020,Nr. Beneficiari
În mediul preşcolar,187
"În mediul primar, gimnazial şi liceal",13830
În mediul universitar,300
În familie,833
În comunitate,3929
