PROIECTE NA?IONALE (anul ?colar 2020-2021);Nr. beneficiari;;;;;;;;
Proiect na?ional CUM S? CRE?TEM S?N?TO?I -7 activit??i/proiect (Nivel pre?colar);17530;;;;;;;;
Proiect na?ional ABC-UL EMO?IILOR-6 activit??i/proiect (Nivel primar);18781;;;;;;;;
Proiect na?ional NECENZURAT-12 activit??i/proiect (Nivel gimnazial);12638;;;;;;;;
Proiect na?ional FRED GOES NET- minimum 8 ore/proiect (Nivel liceal);177;;;;;;;;
Proiect na?ional MESAJUL MEU ANTIDROG (Nivel gimnazial ?i liceal );4005;;;;;;;;
Proiect na?ional EU ?I COPILUL MEU-9 activit??i/proiect (adresat p?rin?ilor);1676;;;;;;;;
;;;;;;;;;
;;;;;;;;;
CAMPANII NA?IONALE;Nr. beneficiari;;;;;;;;
Campania na?ional? media de prevenire a consumului de substan?e noi cu propriet??i psihoactive  Œn cadrul popula?iei ?colare ?i p?rin?ilor ? FII LIBER! (martie 2020 - iunie 2021);79947;;;;;;;;
Campania na?ional? de  informare privind riscurile consumului de tutun ?i beneficiile renun??rii la fumat RENUN?I ?I C??TIGI, derulat?  Œn perioada 21 mai-11 iunie 2021 ?i marcarea ZILEI MONDIALE F?R? TUTUN, 31 mai 2021;17059;;;;;;;;
Campania 19 ZILE DE PREVENIRE A ABUZURILOR ?I VIOLEN?ELOR ASUPRA COPIILOR ?I TINERILOR (01-19 noiembrie 2021);4559;;;;;;;;
;;;;;;;;;
;;;;;;;;;
ACTIVIT??I DE PREVENIRE;Nr. activit??i;Nr. copii;Nr. p?rin?i;Nr. cadre didactice;;;;;
?n mediul pre?colar;2043;24064;2405;1839;;;;;
?n mediul primar, gimnazial ?i liceal;6977;126794;6393;8754;;;;;
?n mediul universitar;53;1572;-;80;;;;;
?n familie;682;-;49633;-;;;;;
?n comunitate;1758;117779 persoane;;;;;;;
