PROIECTE NA?IONALE (anul ?colar 2021-2022);Nr. beneficiari;
Proiect na?ional CUM S? CRE?TEM S?N?TO?I -7 activit??i/proiect (Nivel pre?colar);22520;
Proiect na?ional ABC-UL EMO?IILOR-6 activit??i/proiect (Nivel primar);20073;
Proiect na?ional NECENZURAT-12 activit??i/proiect (Nivel gimnazial);19656;
Proiect na?ional FRED GOES NET- minimum 8 ore/proiect (Nivel liceal);767;
Proiect na?ional MESAJUL MEU ANTIDROG (Nivel gimnazial ?i liceal );6523;
Proiect na?ional EU ?I COPILUL MEU-9 activit??i/proiect (adresat p?rin?ilor);2776;
 Proiect na?ional Abilit??i pentru ac?iune;6014;
 Proiect na?ional Ac?ion?m just;3169;
;;
;;
CAMPANII NA?IONALE- 2022;Nr. beneficiari;
;;
Campania pentru marcarea Zilei Na?ionale F?r? Tutun (17 noiembrie 2022);13998;
Campania 19 ZILE DE PREVENIRE A ABUZURILOR ?I VIOLEN?ELOR ASUPRA COPIILOR ?I TINERILOR (01-19 noiembrie 2022);10369;
;;
;;
ACTIVIT??I DE PREVENIRE -2022;Nr. activit??i;Nr. beneficiari
?n mediul pre?colar;187;2112 copii, 448 cadre didactice
?n mediul primar, gimnazial ?i liceal;13830;337893 elevi, 22277 cadre didactice
?n mediul universitar;219;9244 studenti, 502 cadre didactice
?n familie;833;13961 p?rin?i 
?n comunitate;2929;354271 persoane 
